Wavelength,Protected Au
2.331,0.983
2.332,0.983
2.333,0.983
2.334,0.983
2.335,0.983
2.336,0.983
2.337,0.983
2.338,0.983
2.339,0.983
2.34,0.983
2.341,0.9830028
2.342,0.9830104
2.343,0.9830216
2.344,0.9830352
2.345,0.98305
2.346,0.9830648
2.347,0.9830784
2.348,0.9830896
2.349,0.9830972
2.35,0.9831
2.351,0.9831
2.352,0.9831
2.353,0.9831
2.354,0.9831
2.355,0.9831
2.356,0.9831
2.357,0.9831
2.358,0.9831
2.359,0.9831
2.36,0.9831
2.361,0.9831028
2.362,0.9831104
2.363,0.9831216
2.364,0.9831352
2.365,0.98315
2.366,0.9831648
2.367,0.9831784
2.368,0.9831896
2.369,0.9831972
2.37,0.9832
2.371,0.9832
2.372,0.9832
2.373,0.9832
2.374,0.9832
2.375,0.9832
2.376,0.9832
2.377,0.9832
2.378,0.9832
2.379,0.9832
2.38,0.9832
2.381,0.9832028
2.382,0.9832104
2.383,0.9832216
2.384,0.9832352
2.385,0.98325
2.386,0.9832648
2.387,0.9832784
2.388,0.9832896
2.389,0.9832972
2.39,0.9833
2.391,0.9833
2.392,0.9833
2.393,0.9833
2.394,0.9833
2.395,0.9833
2.396,0.9833
2.397,0.9833
2.398,0.9833
