Wavelength,FSS99 Ag
2.22,0.9985
2.221,0.9985
2.222,0.9985
2.223,0.9985
2.224,0.9985
2.225,0.9985
2.226,0.9985
2.227,0.9985
2.228,0.9985
2.229,0.9985
2.23,0.9985
2.231,0.9985
2.232,0.9985
2.233,0.9985
2.234,0.9985
2.235,0.9985
2.236,0.9985
2.237,0.9985
2.238,0.9985
2.239,0.9985
2.24,0.9985
2.241,0.9984972
2.242,0.9984896
2.243,0.9984784
2.244,0.9984648
2.245,0.99845
2.246,0.9984352
2.247,0.9984216
2.248,0.9984104
2.249,0.9984028
2.25,0.9984
2.251,0.9984
2.252,0.9984
2.253,0.9984
2.254,0.9984
2.255,0.9984
2.256,0.9984
2.257,0.9984
2.258,0.9984
2.259,0.9984
2.26,0.9984
2.261,0.9983981
2.262,0.9983928
2.263,0.9983847
2.264,0.9983744
2.265,0.9983625
2.266,0.9983496
2.267,0.9983363
2.268,0.9983232
2.269,0.9983109
2.27,0.9983
2.271,0.9982891
2.272,0.9982768
2.273,0.9982637
2.274,0.9982504
2.275,0.9982375
2.276,0.9982256
2.277,0.9982153
2.278,0.9982072
2.279,0.9982019
2.28,0.9982
2.281,0.9982
2.282,0.9982
2.283,0.9982
2.284,0.9982
2.285,0.9982
2.286,0.9982
2.287,0.9982
2.288,0.9982
2.289,0.9982
2.29,0.9982
2.291,0.9982019
2.292,0.9982072
2.293,0.9982153
2.294,0.9982256
2.295,0.9982375
2.296,0.9982504
2.297,0.9982637
2.298,0.9982768
2.299,0.9982891
2.3,0.9983
2.301,0.9983109
2.302,0.9983232
2.303,0.9983363
2.304,0.9983496
2.305,0.9983625
2.306,0.9983744
2.307,0.9983847
2.308,0.9983928
2.309,0.9983981
2.31,0.9984
2.311,0.9984
2.312,0.9984
2.313,0.9984
2.314,0.9984
2.315,0.9984
2.316,0.9984
2.317,0.9984
2.318,0.9984
2.319,0.9984
2.32,0.9984
2.321,0.9984028
2.322,0.9984104
2.323,0.9984216
2.324,0.9984352
2.325,0.99845
2.326,0.9984648
2.327,0.9984784
2.328,0.9984896
2.329,0.9984972
2.33,0.9985
2.331,0.9985
2.332,0.9985
2.333,0.9985
2.334,0.9985
2.335,0.9985
2.336,0.9985
2.337,0.9985
2.338,0.9985
2.339,0.9985
2.34,0.9985
2.341,0.9985
2.342,0.9985
2.343,0.9985
2.344,0.9985
2.345,0.9985
2.346,0.9985
2.347,0.9985
2.348,0.9985
2.349,0.9985
2.35,0.9985
2.351,0.9985
2.352,0.9985
2.353,0.9985
2.354,0.9985
2.355,0.9985
2.356,0.9985
2.357,0.9985
2.358,0.9985
2.359,0.9985
2.36,0.9985
2.361,0.9985
2.362,0.9985
2.363,0.9985
2.364,0.9985
2.365,0.9985
2.366,0.9985
2.367,0.9985
2.368,0.9985
2.369,0.9985
2.37,0.9985
2.371,0.9985
2.372,0.9985
2.373,0.9985
2.374,0.9985
2.375,0.9985
2.376,0.9985
2.377,0.9985
2.378,0.9985
2.379,0.9985
2.38,0.9985
2.381,0.9985
2.382,0.9985
2.383,0.9985
2.384,0.9985
2.385,0.9985
2.386,0.9985
2.387,0.9985
