Wavelength,K-L Fiber
2.06,0.99463513
2.061,0.99464786
2.062,0.9946606
2.063,0.99467333
2.064,0.99468606
2.065,0.99469879
2.066,0.99471153
2.067,0.99472426
2.068,0.99473699
2.069,0.99474972
2.07,0.99476245
2.071,0.99477519
2.072,0.99478792
2.073,0.99480065
2.074,0.99481338
2.075,0.99482612
2.076,0.99483885
2.077,0.99485158
2.078,0.99486431
2.079,0.99487705
2.08,0.99488978
2.081,0.99489691
2.082,0.99490405
2.083,0.99491119
2.084,0.99491833
2.085,0.99492546
2.086,0.9949326
2.087,0.99493974
2.088,0.99494688
2.089,0.99495401
2.09,0.99496115
2.091,0.99496829
2.092,0.99497543
2.093,0.99498256
2.094,0.9949897
2.095,0.99499684
2.096,0.99500398
2.097,0.99501111
2.098,0.99501825
2.099,0.99502539
2.1,0.99503253
2.101,0.99504206
2.102,0.99505159
2.103,0.99506113
2.104,0.99507066
2.105,0.9950802
2.106,0.99508973
2.107,0.99509926
2.108,0.9951088
2.109,0.99511833
2.11,0.99512786
2.111,0.9951374
2.112,0.99514693
2.113,0.99515647
2.114,0.995166
2.115,0.99517553
2.116,0.99518507
2.117,0.9951946
2.118,0.99520414
2.119,0.99521367
2.12,0.9952232
2.121,0.99523181
2.122,0.99524042
2.123,0.99524902
2.124,0.99525763
2.125,0.99526624
2.126,0.99527484
2.127,0.99528345
2.128,0.99529206
2.129,0.99530066
2.13,0.99530927
2.131,0.99531788
2.132,0.99532648
2.133,0.99533509
2.134,0.9953437
2.135,0.9953523
2.136,0.99536091
2.137,0.99536952
2.138,0.99537812
2.139,0.99538673
2.14,0.99539534
2.141,0.99540809
2.142,0.99542085
2.143,0.9954336
2.144,0.99544636
2.145,0.99545911
2.146,0.99547187
2.147,0.99548463
2.148,0.99549738
2.149,0.99551014
2.15,0.99552289
2.151,0.99553565
2.152,0.9955484
2.153,0.99556116
2.154,0.99557391
2.155,0.99558667
2.156,0.99559942
2.157,0.99561218
2.158,0.99562493
2.159,0.99563769
2.16,0.99565044
2.161,0.99565546
2.162,0.99566048
2.163,0.9956655
2.164,0.99567052
2.165,0.99567554
2.166,0.99568056
2.167,0.99568558
2.168,0.9956906
2.169,0.99569561
2.17,0.99570063
2.171,0.99570565
2.172,0.99571067
2.173,0.99571569
2.174,0.99572071
2.175,0.99572573
2.176,0.99573075
2.177,0.99573577
2.178,0.99574078
2.179,0.9957458
2.18,0.99575082
2.181,0.99575518
2.182,0.99575954
2.183,0.99576389
2.184,0.99576825
2.185,0.99577261
2.186,0.99577697
2.187,0.99578132
2.188,0.99578568
2.189,0.99579004
2.19,0.9957944
2.191,0.99579876
2.192,0.99580311
2.193,0.99580747
2.194,0.99581183
2.195,0.99581619
2.196,0.99582054
2.197,0.9958249
2.198,0.99582926
2.199,0.99583362
2.2,0.99583797
2.201,0.99584031
2.202,0.99584265
